,Unnamed: 0,Project,Commit,File,Method,CommentType,#Parameters,NLOC,Complexity,NLOC_slope,Params_slope,Complexity_slope,pmd_warnings_numbers,checkstyle_warnings_numbers,org_silo,missing_links,radio_silence,st_congruence,num_tz,code_only_devs,code_files,ml_only_devs,ml_threads,code_ml_both_devs
0,88,logging-log4j2,f5b5d0b922e164117b732ceffe0313a2424c980f,log4j-osgi/src/test/java/org/apache/logging/log4j/osgi/tests/AbstractLoadBundleTest.java,AbstractLoadBundleTest::installBundle( String symbolicName),Not SATD,1.0,4.0,1.0,,,,,,,,,,,,,,,
1,89,logging-log4j2,161c07664c921ae7a752b23d71e6f56cada805dc,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/rolling/DirectWriteRolloverStrategy.java,DirectWriteRolloverStrategy::getCurrentFileName( final RollingFileManager manager),Not SATD,1.0,14.0,5.0,0.121212121212121,0.0,0.0,,,,,,,,,,,,
2,90,logging-log4j2,161c07664c921ae7a752b23d71e6f56cada805dc,log4j-core/src/test/java/org/apache/logging/log4j/core/appender/rolling/RollingAppenderDirectCronTest.java,RollingAppenderDirectCronTest::testAppender(),SATD,0.0,17.0,4.0,,,,,,,,,,,,,,,
3,91,logging-log4j2,df5a68541be60a34754c10e6a284fde6074b10a0,log4j-flume-ng/src/test/java/org/apache/logging/log4j/flume/appender/FlumePersistentAppenderTest.java,FlumePersistentAppenderTest::EventCollector::append( final AvroFlumeEvent event),Not SATD,1.0,4.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
4,92,logging-log4j2,df5a68541be60a34754c10e6a284fde6074b10a0,log4j-flume-ng/src/test/java/org/apache/logging/log4j/flume/appender/FlumePersistentAppenderTest.java,FlumePersistentAppenderTest::EventCollector::appendBatch( final List<AvroFlumeEvent> events),Not SATD,1.0,6.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,
5,93,logging-log4j2,c2d049d947da1f650862437df036fea470ff2869,log4j-1.2-api/src/test/java/org/apache/log4j/config/AbstractLog4j1ConfigurationTest.java,AbstractLog4j1ConfigurationTest::testLevelRangeFilter(),Not SATD,0.0,21.0,1.0,,,,,,,,,,,,,,,
6,94,logging-log4j2,c2d049d947da1f650862437df036fea470ff2869,log4j-1.2-api/src/test/java/org/apache/log4j/config/PropertiesConfigurationTest.java,PropertiesConfigurationTest::testConsoleAppenderLevelRangeFilter(),Not SATD,0.0,35.0,1.0,1.03636363636364,0.0,0.0,,,,,,,,,,,,
7,95,logging-log4j2,e0d01e05ac819046be153a93309d240fcbb1bd38,log4j-core/src/main/java/org/apache/logging/log4j/core/config/xml/XmlConfiguration.java,XmlConfiguration::enableXInclude( final DocumentBuilderFactory factory),SATD,1.0,14.0,3.0,-1.44242424242424,0.0,-0.387878787878788,,,,,,,,,,,,
8,96,logging-log4j2,a3e8e217d60ddcf69133f58cee7a9fb3edf3c33e,log4j-core/src/main/java/org/apache/logging/log4j/core/config/xml/XmlConfiguration.java,"XmlConfiguration::setFeature( final DocumentBuilderFactory factory , final String featureName , final boolean value)",Not SATD,3.0,12.0,3.0,0.0545454545454546,0.0,0.0,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
9,97,logging-log4j2,5d9a36dd4b0a3abe84414e2a7493e0ec82375a82,log4j-core/src/main/java/org/apache/logging/log4j/core/util/Source.java,Source::toFile( final URI uri),SATD,1.0,14.0,4.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
10,98,logging-log4j2,1ab0788f61e6d396afc27c28e0cd9063deaa6e13,log4j-core/src/test/java/org/apache/logging/log4j/core/appender/rolling/RollingDirectSize3490Test.java,RollingDirectSize3490Test::clean(),Not SATD,0.0,12.0,4.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
11,99,logging-log4j2,8456c2ece9c997226477581929348077ab2807c5,log4j-core/src/test/java/org/apache/logging/log4j/core/filter/MutableThreadContextMapFilterTest.java,MutableThreadContextMapFilterTest::after(),Not SATD,0.0,9.0,2.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
12,100,logging-log4j2,1e90f9aeb1a559bbbb7d2510a93fe718505ba30c,log4j-1.2-api/src/test/java/org/apache/log4j/config/AbstractLog4j1ConfigurationTest.java,AbstractLog4j1ConfigurationTest::testEnhancedRollingFileAppender( Configuration configuration),Not SATD,1.0,61.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
13,101,logging-log4j2,1e90f9aeb1a559bbbb7d2510a93fe718505ba30c,log4j-1.2-api/src/test/java/org/apache/log4j/config/XmlConfigurationTest.java,XmlConfigurationTest::testEnhancedRollingFileAppender(),Not SATD,0.0,15.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
14,102,logging-log4j2,26c7c42e8343c84971a64de66bca47392088259b,log4j-core/src/main/java/org/apache/logging/log4j/core/async/AsyncLoggerConfig.java,"AsyncLoggerConfig::createLogger( @ PluginAttribute(value=""additivity"",defaultBoolean=true) final boolean additivity , @ PluginAttribute(""level"") final Level level , @ Required(message=""Loggers cannot be configured without a name"") @ PluginAttribute(""name"") final String loggerName , @ PluginAttribute(""includeLocation"") final String includeLocation , @ PluginElement(""AppenderRef"") final AppenderRef [ ] refs , @ PluginElement(""Properties"") final Property [ ] properties , @ PluginConfiguration final Configuration config , @ PluginElement(""Filter"") final Filter filter)",Not SATD,8.0,13.0,2.0,0.0,0.0,0.0,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
15,103,logging-log4j2,26c7c42e8343c84971a64de66bca47392088259b,log4j-core/src/main/java/org/apache/logging/log4j/core/config/LoggerConfig.java,LoggerConfig::includeLocation( final String includeLocationConfigValue),Not SATD,1.0,3.0,1.0,0.0,0.0,0.0,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
16,104,logging-log4j2,1f227cd394c9666dfc65ef726bece567325c5855,log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataId.java,"StructuredDataId::StructuredDataId( final String name , final String enterpriseNumber , final String [ ] required , final String [ ] optional)",Not SATD,4.0,4.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
17,105,logging-log4j2,1f227cd394c9666dfc65ef726bece567325c5855,log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataId.java,"StructuredDataId::makeId( final String defaultId , final String anEnterpriseNumber)",SATD,2.0,18.0,3.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
18,106,logging-log4j2,1f227cd394c9666dfc65ef726bece567325c5855,log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataId.java,"StructuredDataId::StructuredDataId( final String name , final String enterpriseNumber , final String [ ] required , final String [ ] optional , final int maxLength)",Not SATD,5.0,20.0,6.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
19,107,logging-log4j2,1f227cd394c9666dfc65ef726bece567325c5855,log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataId.java,"StructuredDataId::StructuredDataId( final String name , final int enterpriseNumber , final String [ ] required , final String [ ] optional)",Not SATD,4.0,4.0,1.0,-2.32727272727273,0.0,-0.581818181818182,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
20,108,logging-log4j2,1f227cd394c9666dfc65ef726bece567325c5855,log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataId.java,"StructuredDataId::StructuredDataId( final String name , final int enterpriseNumber , final String [ ] required , final String [ ] optional , final int maxLength)",Not SATD,5.0,4.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
21,109,logging-log4j2,1f227cd394c9666dfc65ef726bece567325c5855,log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataId.java,"StructuredDataId::makeId( final String defaultId , final int anEnterpriseNumber)",SATD,2.0,3.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
22,110,logging-log4j2,1f227cd394c9666dfc65ef726bece567325c5855,log4j-core/src/main/java/org/apache/logging/log4j/core/appender/SyslogAppender.java,SyslogAppender::Builder::setEnterpriseNumber( final int enterpriseNumber),Not SATD,1.0,4.0,1.0,0.0,0.0,0.0,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
23,111,logging-log4j2,25fff83746dceabe38aaa026804de8eeb6a161a6,log4j-spring-boot/src/main/java/org/apache/logging/log4j/spring/boot/Log4j2CloudConfigLoggingSystem.java,"Log4j2CloudConfigLoggingSystem::loadConfiguration( String location , LogFile logFile)",Not SATD,2.0,3.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
24,112,logging-log4j2,25fff83746dceabe38aaa026804de8eeb6a161a6,log4j-spring-boot/src/main/java/org/apache/logging/log4j/spring/boot/Log4j2CloudConfigLoggingSystem.java,"Log4j2CloudConfigLoggingSystem::loadConfiguration( String location , LogFile logFile , List<String> overrides)",Not SATD,3.0,50.0,11.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
25,113,logging-log4j2,aaf13561e7dab88f379904461c75ed7a7ffef8d5,log4j-api/src/main/java/org/apache/logging/log4j/util/EnvironmentPropertySource.java,EnvironmentPropertySource::logException( SecurityException e),Not SATD,1.0,4.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
26,114,logging-log4j2,aaf13561e7dab88f379904461c75ed7a7ffef8d5,log4j-api/src/main/java/org/apache/logging/log4j/util/PropertiesUtil.java,PropertiesUtil::PropertiesUtil( final PropertySource source),Not SATD,1.0,3.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
27,115,logging-log4j2,aaf13561e7dab88f379904461c75ed7a7ffef8d5,log4j-api/src/main/java/org/apache/logging/log4j/util/PropertiesUtil.java,PropertiesUtil::Environment::reload(),SATD,0.0,33.0,5.0,0.6,0.0,0.0,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
28,116,logging-log4j2,aaf13561e7dab88f379904461c75ed7a7ffef8d5,log4j-api/src/main/java/org/apache/logging/log4j/util/PropertiesUtil.java,PropertiesUtil::Environment::Environment( final PropertySource propertySource),Not SATD,1.0,15.0,3.0,-0.745454545454546,0.0,-0.290909090909091,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
29,117,logging-log4j2,aaf13561e7dab88f379904461c75ed7a7ffef8d5,log4j-api/src/main/java/org/apache/logging/log4j/util/PropertiesUtil.java,PropertiesUtil::Environment::get( final String key),Not SATD,1.0,21.0,7.0,0.218181818181818,0.0,0.0545454545454546,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
30,118,logging-log4j2,aaf13561e7dab88f379904461c75ed7a7ffef8d5,log4j-api/src/test/java/org/apache/logging/log4j/util/PropertiesUtilOrderTest.java,PropertiesUtilOrderTest::nullChecks( SystemProperties sysProps),Not SATD,1.0,13.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
31,119,logging-log4j2,aaf13561e7dab88f379904461c75ed7a7ffef8d5,log4j-api/src/test/java/org/apache/logging/log4j/util/PropertiesUtilOrderTest.java,"PropertiesUtilOrderTest::orderOfNormalizedProperties( EnvironmentVariables env , SystemProperties sysProps)",Not SATD,2.0,27.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
32,120,logging-log4j2,aaf13561e7dab88f379904461c75ed7a7ffef8d5,log4j-api/src/test/java/org/apache/logging/log4j/util/PropertiesUtilOrderTest.java,PropertiesUtilOrderTest::fallsBackToTokenMatching(),Not SATD,0.0,10.0,2.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
33,121,logging-log4j2,aaf13561e7dab88f379904461c75ed7a7ffef8d5,log4j-api/src/test/java/org/apache/logging/log4j/util/PropertiesUtilOrderTest.java,PropertiesUtilOrderTest::normalizedOverrideLegacy(),Not SATD,0.0,16.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
34,122,logging-log4j2,aaf13561e7dab88f379904461c75ed7a7ffef8d5,log4j-api/src/test/java/org/apache/logging/log4j/util/PropertiesUtilOrderTest.java,PropertiesUtilOrderTest::highPriorityNonEnumerableSource( SystemProperties sysProps),Not SATD,1.0,25.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
35,123,logging-log4j2,455dca15dde489e88a5a57b27f137baa567130f4,log4j-core/src/main/java/org/apache/logging/log4j/core/filter/mutable/KeyValuePairConfig.java,KeyValuePairConfig::getConfigs(),Not SATD,0.0,3.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
36,124,logging-log4j2,73b0513e4ec282c1e4d8eee32721eeb363201b9c,log4j-core/src/main/java/org/apache/logging/log4j/core/filter/mutable/KeyValuePairConfig.java,KeyValuePairConfig::getConfig(),Not SATD,0.0,3.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
37,125,logging-log4j2,ad414c1ac0ae6e4d488eefb1a56c2842f48f248a,log4j-core/src/main/java/org/apache/logging/log4j/core/filter/MutableThreadContextMapFilter.java,MutableThreadContextMapFilter::Builder::setPollInterval( final long pollInterval),Not SATD,1.0,4.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
38,126,logging-log4j2,ad414c1ac0ae6e4d488eefb1a56c2842f48f248a,log4j-core/src/main/java/org/apache/logging/log4j/core/filter/MutableThreadContextMapFilter.java,MutableThreadContextMapFilter::Builder::setConfigLocation( final String configLocation),Not SATD,1.0,4.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
39,127,logging-log4j2,ad414c1ac0ae6e4d488eefb1a56c2842f48f248a,log4j-core/src/main/java/org/apache/logging/log4j/core/filter/MutableThreadContextMapFilter.java,MutableThreadContextMapFilter::Builder::setConfiguration( final Configuration configuration),Not SATD,1.0,4.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
40,128,logging-log4j2,ad414c1ac0ae6e4d488eefb1a56c2842f48f248a,log4j-core/src/main/java/org/apache/logging/log4j/core/filter/mutable/KeyValuePairConfig.java,KeyValuePairConfig::getdebugIds(),Not SATD,0.0,3.0,1.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
41,129,logging-log4j2,ad414c1ac0ae6e4d488eefb1a56c2842f48f248a,log4j-core/src/test/java/org/apache/logging/log4j/core/filter/HttpThreadContextMapFilterTest.java,HttpThreadContextMapFilterTest::startServer(),Not SATD,0.0,20.0,3.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
42,130,logging-log4j2,ad414c1ac0ae6e4d488eefb1a56c2842f48f248a,log4j-core/src/test/java/org/apache/logging/log4j/core/filter/HttpThreadContextMapFilterTest.java,HttpThreadContextMapFilterTest::after(),Not SATD,0.0,8.0,2.0,,,,,,1.0,1.0,27.0,0.5,8.0,12.0,116.0,27.0,101.0,4.0
