Commit,File,Commit-1,Commit-2,Commit-3,Commit-4,Commit-5,Commit-6,Commit-7,Commit-8,Commit-9
d7e94581d784067fccddd34e19ae46aea526f9fa,src/java/org/apache/commons/csv/CSVParser.java,d7e94581d784067fccddd34e19ae46aea526f9fa,ce34196827e6ac834b4c566e1e6fbe863c8e8d1c,561adc6440cb832fe064554e3dc017e0ff5327a1,f6f9fc1d480e85839c80d0890fa5ebed74971dc7,45d972fe5b7807db5f5bb6fed182f107993da5a4,eac54a225bc974157e914cf66cfa598171022018,f047581f9526aad1c9c9e624710a4e860f88ecaa,0e1f0adb716515aba5e98e5690779f2fb73ad716,4b5faabefd896ef24b21d7f9d3dc20741f6b89b8
8d8502ae8caa3b2b133bdce221ea8a955a6bf97f,src/java/org/apache/commons/csv/CSVParser.java,8d8502ae8caa3b2b133bdce221ea8a955a6bf97f,d7e94581d784067fccddd34e19ae46aea526f9fa,ce34196827e6ac834b4c566e1e6fbe863c8e8d1c,561adc6440cb832fe064554e3dc017e0ff5327a1,f6f9fc1d480e85839c80d0890fa5ebed74971dc7,45d972fe5b7807db5f5bb6fed182f107993da5a4,eac54a225bc974157e914cf66cfa598171022018,f047581f9526aad1c9c9e624710a4e860f88ecaa,0e1f0adb716515aba5e98e5690779f2fb73ad716
ddda2af0666e199e0e6e267833449223b9e738e1,src/java/org/apache/commons/csv/CSVParser.java,ddda2af0666e199e0e6e267833449223b9e738e1,8d8502ae8caa3b2b133bdce221ea8a955a6bf97f,d7e94581d784067fccddd34e19ae46aea526f9fa,ce34196827e6ac834b4c566e1e6fbe863c8e8d1c,561adc6440cb832fe064554e3dc017e0ff5327a1,f6f9fc1d480e85839c80d0890fa5ebed74971dc7,45d972fe5b7807db5f5bb6fed182f107993da5a4,eac54a225bc974157e914cf66cfa598171022018,f047581f9526aad1c9c9e624710a4e860f88ecaa
4ed7299b5e0788f851ba5fb5e9c9e364e0420cc8,src/java/org/apache/commons/csv/CSVParser.java,4ed7299b5e0788f851ba5fb5e9c9e364e0420cc8,ddda2af0666e199e0e6e267833449223b9e738e1,8d8502ae8caa3b2b133bdce221ea8a955a6bf97f,d7e94581d784067fccddd34e19ae46aea526f9fa,ce34196827e6ac834b4c566e1e6fbe863c8e8d1c,561adc6440cb832fe064554e3dc017e0ff5327a1,f6f9fc1d480e85839c80d0890fa5ebed74971dc7,45d972fe5b7807db5f5bb6fed182f107993da5a4,eac54a225bc974157e914cf66cfa598171022018
a05816d2e7fba8780067ff0e005588074bd78f2c,src/java/org/apache/commons/csv/CSVParser.java,a05816d2e7fba8780067ff0e005588074bd78f2c,4ed7299b5e0788f851ba5fb5e9c9e364e0420cc8,ddda2af0666e199e0e6e267833449223b9e738e1,8d8502ae8caa3b2b133bdce221ea8a955a6bf97f,d7e94581d784067fccddd34e19ae46aea526f9fa,ce34196827e6ac834b4c566e1e6fbe863c8e8d1c,561adc6440cb832fe064554e3dc017e0ff5327a1,f6f9fc1d480e85839c80d0890fa5ebed74971dc7,45d972fe5b7807db5f5bb6fed182f107993da5a4
68e75ee16dc6ac983df44ca0c9b1628a9e111caa,src/java/org/apache/commons/csv/CSVParser.java,68e75ee16dc6ac983df44ca0c9b1628a9e111caa,a05816d2e7fba8780067ff0e005588074bd78f2c,4ed7299b5e0788f851ba5fb5e9c9e364e0420cc8,ddda2af0666e199e0e6e267833449223b9e738e1,8d8502ae8caa3b2b133bdce221ea8a955a6bf97f,d7e94581d784067fccddd34e19ae46aea526f9fa,ce34196827e6ac834b4c566e1e6fbe863c8e8d1c,561adc6440cb832fe064554e3dc017e0ff5327a1,f6f9fc1d480e85839c80d0890fa5ebed74971dc7
87d5f8780622c8f0d507b732194e3db0b76af61a,src/java/org/apache/commons/csv/CSVParser.java,87d5f8780622c8f0d507b732194e3db0b76af61a,68e75ee16dc6ac983df44ca0c9b1628a9e111caa,a05816d2e7fba8780067ff0e005588074bd78f2c,4ed7299b5e0788f851ba5fb5e9c9e364e0420cc8,ddda2af0666e199e0e6e267833449223b9e738e1,8d8502ae8caa3b2b133bdce221ea8a955a6bf97f,d7e94581d784067fccddd34e19ae46aea526f9fa,ce34196827e6ac834b4c566e1e6fbe863c8e8d1c,561adc6440cb832fe064554e3dc017e0ff5327a1
5cbfe40c585bcf524ff263c79a9b694383678398,src/java/org/apache/commons/csv/CSVParser.java,5cbfe40c585bcf524ff263c79a9b694383678398,87d5f8780622c8f0d507b732194e3db0b76af61a,68e75ee16dc6ac983df44ca0c9b1628a9e111caa,a05816d2e7fba8780067ff0e005588074bd78f2c,4ed7299b5e0788f851ba5fb5e9c9e364e0420cc8,ddda2af0666e199e0e6e267833449223b9e738e1,8d8502ae8caa3b2b133bdce221ea8a955a6bf97f,d7e94581d784067fccddd34e19ae46aea526f9fa,ce34196827e6ac834b4c566e1e6fbe863c8e8d1c
415218fb6d84408dd239231e3b7fb310f86793e9,src/java/org/apache/commons/csv/CSVParser.java,415218fb6d84408dd239231e3b7fb310f86793e9,5cbfe40c585bcf524ff263c79a9b694383678398,87d5f8780622c8f0d507b732194e3db0b76af61a,68e75ee16dc6ac983df44ca0c9b1628a9e111caa,a05816d2e7fba8780067ff0e005588074bd78f2c,4ed7299b5e0788f851ba5fb5e9c9e364e0420cc8,ddda2af0666e199e0e6e267833449223b9e738e1,8d8502ae8caa3b2b133bdce221ea8a955a6bf97f,d7e94581d784067fccddd34e19ae46aea526f9fa
bf186393db6502561f54b09a09766a0287335b5c,src/java/org/apache/commons/csv/CSVParser.java,bf186393db6502561f54b09a09766a0287335b5c,415218fb6d84408dd239231e3b7fb310f86793e9,5cbfe40c585bcf524ff263c79a9b694383678398,87d5f8780622c8f0d507b732194e3db0b76af61a,68e75ee16dc6ac983df44ca0c9b1628a9e111caa,a05816d2e7fba8780067ff0e005588074bd78f2c,4ed7299b5e0788f851ba5fb5e9c9e364e0420cc8,ddda2af0666e199e0e6e267833449223b9e738e1,8d8502ae8caa3b2b133bdce221ea8a955a6bf97f
